91753
46939	1254	22510
46447	1254	16888
56841	1254	4255
48653	1066	44692
32124	309	42820
58822	739	29173
35247	249	49126
34757	1254	13019
52812	1254	14733
39459	1085	29473
50677	1254	2006
50133	74	31813
38210	476	24209
44755	915	29826
41469	1254	602
56303	1254	25590
44779	1192	59070
36273	1254	9107
50866	791	42102
55739	1254	4661
58722	1254	14641
55154	1085	6515
32083	1254	9727
57063	1085	12131
34376	1085	19923
30933	476	23680
46983	520	21609
38581	249	33618
46775	1085	4245
33373	1066	42287
35882	179	58739
45013	476	4657
58825	18	58826
33058	1085	6109
36536	1192	51057
33235	170	9190
46079	476	4562
32721	1198	42374
49040	82	5646
55656	1002	9061
54534	1069	22644
52194	1192	43805
55728	144	4995
58666	330	53359
59457	1085	4487
56809	1254	147
51392	74	56101
44373	1254	13303
54680	1254	24274
56483	309	59000
45781	1066	43855
33454	777	47109
49088	1085	21777
55008	1254	14830
55375	658	39007
33833	1254	23258
57677	476	4408
32365	1085	5085
57172	988	4688
36717	1254	17249
59222	880	45419
55109	1254	14617
52961	1066	44615
45979	74	39776
56084	1085	11017
53839	74	43713
52491	1066	35743
55458	1254	14696
50048	1254	24756
54975	1085	23320
30306	1254	15922
57863	476	5202
35842	658	52909
38619	639	46392
39967	658	40587
54953	1066	31752
38132	608	35344
52121	1085	6836
33206	1254	7613
40560	1254	11764
30268	1254	2601
39620	1085	24194
54045	988	53560
36320	476	37798
42706	1254	11991
53376	1000	16075
56693	1066	53007
35076	476	22962
53189	1066	35757
56351	988	21691
53990	1066	35850
47833	476	16879
47518	170	20572
56339	74	32690
34473	476	15852
32013	1085	22418
50343	1192	35433
40312	1085	9810
35793	1085	23682
35014	1085	20420
58009	1085	11362
33205	1254	2914
56039	1085	24894
30300	658	33689
53323	88	29004
43920	82	5872
33698	175	44861
38214	1085	4243
55973	476	4909
58855	144	38439
44659	249	53359
54124	476	3875
57994	858	45911
37489	74	37009
45626	1066	32772
55260	1254	11595
50872	1066	37891
52255	739	26313
55496	1192	38051
59215	1002	315
32755	915	29889
55917	476	7509
39051	1254	4323
31142	74	53787
35262	809	33356
56030	74	37485
45706	739	25265
46230	191	54505
57533	1066	49820
54420	1254	33204
56633	74	51008
58291	309	40224
47874	1085	3346
57173	74	47187
31911	1085	22012
56180	1085	2549
39655	1254	11594
42606	74	40853
56464	1066	53111
45834	476	26962
54224	1066	37313
57887	74	53718
46230	1254	23037
38201	1192	39242
45974	1254	10498
47683	476	2212
35232	1066	33438
52074	858	53044
52040	144	21632
55414	1085	4561
36807	74	48397
56393	1254	1830
51150	309	33991
56981	1254	7354
36558	1254	12566
38102	74	53670
57031	1254	26409
56665	1085	25369
32533	878	27537
43526	1192	39475
53799	1254	21066
40409	1066	39958
33375	1254	19706
59379	1085	23358
53952	1254	15342
54788	74	47476
30603	1254	11984
52713	74	34551
44242	1254	1394
50139	74	43912
56376	1192	41891
32457	858	1369
40741	1085	1132
48728	1192	39769
43833	1066	48500
43831	74	41859
43606	1192	43121
38113	1254	3466
30994	191	57162
43486	1085	8237
33063	396	7760
57642	476	9649
40284	476	17662
47869	1066	51735
38551	809	38550
33505	1254	7476
41301	1254	20277
40796	1254	3143
56104	1254	4995
53863	858	23936
52866	1254	24223
58711	1085	14217
49647	476	1068
39337	815	4820
48462	1254	3586
55263	1085	21984
35334	1066	42049
43689	74	5525
47050	608	26873
49013	1066	34314
44600	1254	14054
54225	309	59471
56165	476	29196
55197	1085	19536
35222	74	52282
35550	1085	29056
35004	1254	10234
32770	1066	59521
59546	476	10339
36326	1254	3287
55789	476	16888
48751	1120	28372
55171	1202	29904
44524	1254	15035
47549	144	5264
45289	1085	33170
43833	1066	50672
55527	476	2948
50824	742	1562
33119	1066	45521
53849	170	5303
59158	1085	25758
43486	1085	4145
38779	1085	4255
58838	1254	23018
50661	456	27009
43009	1085	23320
52173	476	21903
41258	1085	6402
42029	1066	49011
49287	1254	10854
33712	249	44351
40356	1085	22003
38470	1254	550
33037	1085	4563
50030	144	24244
52044	1192	32712
44614	476	26845
56120	608	31726
56110	739	9810
57179	1192	30705
37474	82	16271
42320	1254	2278
56764	1254	11424
41492	1192	32575
56020	1192	30693
57871	1085	17958
46153	1254	3353
55467	249	32144
30543	1085	3726
57073	309	60234
40910	1085	17005
36248	658	42842
52200	1254	12469
57915	947	22443
48729	1085	23297
33741	1192	33671
55287	1066	32079
53212	739	2980
38969	1085	3113
55769	1085	19989
35462	88	79
48686	422	54398
44600	1254	2459
50697	1254	12102
47671	658	43317
46169	20	46083
50113	1254	13539
54844	20	11954
30306	1254	15856
53422	1122	59134
44771	1066	52479
33097	1091	41471
38881	1085	11175
56340	476	9999
53478	476	1345
56203	1254	21265
55971	1066	39003
49233	476	7628
55778	1085	5754
53528	1066	30838
34077	249	36454
54667	476	4951
55511	1192	54454
38537	1066	50578
32922	1254	1092
52484	1085	5173
30227	191	43788
36829	1202	956
